Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death
27-03-2020,Andaman and Nicobar Islands,1,1,0.0,0.0
28-03-2020,Andaman and Nicobar Islands,6,6,0.0,0.0
29-03-2020,Andaman and Nicobar Islands,9,9,0.0,0.0
30-03-2020,Andaman and Nicobar Islands,9,9,0.0,0.0
31-03-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
01-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
02-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
03-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
04-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
05-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
06-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
07-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
08-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
09-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0
10-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0
11-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0
12-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
13-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
14-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
15-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
16-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
17-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
18-04-2020,Andaman and Nicobar Islands,12,1,11.0,0.0
19-04-2020,Andaman and Nicobar Islands,14,3,11.0,0.0
20-04-2020,Andaman and Nicobar Islands,15,4,11.0,0.0
21-04-2020,Andaman and Nicobar Islands,16,5,11.0,0.0
22-04-2020,Andaman and Nicobar Islands,16,5,11.0,0.0
23-04-2020,Andaman and Nicobar Islands,18,7,11.0,0.0
24-04-2020,Andaman and Nicobar Islands,22,11,11.0,0.0
25-04-2020,Andaman and Nicobar Islands,27,16,11.0,0.0
26-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0
27-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0
28-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0
29-04-2020,Andaman and Nicobar Islands,33,18,15.0,0.0
30-04-2020,Andaman and Nicobar Islands,33,18,15.0,0.0
01-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0
02-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0
03-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0
04-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0
05-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0
06-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0
07-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0
08-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
09-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
10-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
11-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
12-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
13-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
14-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
15-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
16-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
17-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
18-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
19-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
20-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
21-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
22-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
23-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
24-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
25-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
26-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
27-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
28-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
29-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
30-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
31-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
01-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
02-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
03-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
04-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
05-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
06-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
07-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
08-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
09-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
10-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0
11-06-2020,Andaman and Nicobar Islands,34,1,33.0,0.0
12-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0
13-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0
14-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0
15-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0
16-06-2020,Andaman and Nicobar Islands,41,8,33.0,0.0
17-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0
18-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0
19-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0
20-06-2020,Andaman and Nicobar Islands,45,10,35.0,0.0
21-06-2020,Andaman and Nicobar Islands,47,11,36.0,0.0
22-06-2020,Andaman and Nicobar Islands,48,11,37.0,0.0
23-06-2020,Andaman and Nicobar Islands,48,11,37.0,0.0
24-06-2020,Andaman and Nicobar Islands,50,10,40.0,0.0
25-06-2020,Andaman and Nicobar Islands,56,13,43.0,0.0
26-06-2020,Andaman and Nicobar Islands,59,16,43.0,0.0
27-06-2020,Andaman and Nicobar Islands,72,29,43.0,0.0
28-06-2020,Andaman and Nicobar Islands,72,29,43.0,0.0
29-06-2020,Andaman and Nicobar Islands,76,31,45.0,0.0
30-06-2020,Andaman and Nicobar Islands,90,44,46.0,0.0
01-07-2020,Andaman and Nicobar Islands,97,47,50.0,0.0
02-07-2020,Andaman and Nicobar Islands,100,50,50.0,0.0
03-07-2020,Andaman and Nicobar Islands,109,58,51.0,0.0
04-07-2020,Andaman and Nicobar Islands,116,62,54.0,0.0
05-07-2020,Andaman and Nicobar Islands,119,53,66.0,0.0
06-07-2020,Andaman and Nicobar Islands,125,53,72.0,0.0
07-07-2020,Andaman and Nicobar Islands,141,67,74.0,0.0
08-07-2020,Andaman and Nicobar Islands,147,72,75.0,0.0
09-07-2020,Andaman and Nicobar Islands,149,72,77.0,0.0
10-07-2020,Andaman and Nicobar Islands,151,68,83.0,0.0
11-07-2020,Andaman and Nicobar Islands,156,64,92.0,0.0
12-07-2020,Andaman and Nicobar Islands,163,70,93.0,0.0
13-07-2020,Andaman and Nicobar Islands,163,70,93.0,0.0
14-07-2020,Andaman and Nicobar Islands,166,57,109.0,0.0
15-07-2020,Andaman and Nicobar Islands,166,57,109.0,0.0
16-07-2020,Andaman and Nicobar Islands,176,46,130.0,0.0
17-07-2020,Andaman and Nicobar Islands,180,47,133.0,0.0
18-07-2020,Andaman and Nicobar Islands,194,52,142.0,0.0
19-07-2020,Andaman and Nicobar Islands,198,53,145.0,0.0
20-07-2020,Andaman and Nicobar Islands,203,58,145.0,0.0
21-07-2020,Andaman and Nicobar Islands,207,55,152.0,0.0
22-07-2020,Andaman and Nicobar Islands,212,53,159.0,0.0
23-07-2020,Andaman and Nicobar Islands,221,58,163.0,0.0
24-07-2020,Andaman and Nicobar Islands,240,70,170.0,0.0
25-07-2020,Andaman and Nicobar Islands,259,85,174.0,0.0
26-07-2020,Andaman and Nicobar Islands,290,114,176.0,0.0
27-07-2020,Andaman and Nicobar Islands,324,142,182.0,0.0
28-07-2020,Andaman and Nicobar Islands,338,145,192.0,1.0
29-07-2020,Andaman and Nicobar Islands,363,166,196.0,1.0
30-07-2020,Andaman and Nicobar Islands,428,225,201.0,2.0
31-07-2020,Andaman and Nicobar Islands,471,266,201.0,4.0
