Date,Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death,Forecasted,Forecasted_high,Forecasted_low,Confiremd_Cases_Daywise,Forecasted_Cases_Daywise,Forecasted_Cases_high_Daywise,Forecasted_Cases_low_Daywise
27-03-2020,27-03-2020,Andaman and Nicobar Islands,1,1,0.0,0.0,,,,,,,
28-03-2020,28-03-2020,Andaman and Nicobar Islands,6,6,0.0,0.0,,,,5,,,
29-03-2020,29-03-2020,Andaman and Nicobar Islands,9,9,0.0,0.0,,,,3,,,
30-03-2020,30-03-2020,Andaman and Nicobar Islands,9,9,0.0,0.0,,,,0,,,
31-03-2020,31-03-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,1,,,
01-04-2020,01-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
02-04-2020,02-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
03-04-2020,03-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
04-04-2020,04-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
05-04-2020,05-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
06-04-2020,06-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
07-04-2020,07-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
08-04-2020,08-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0,,,,0,,,
09-04-2020,09-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0,,,,1,,,
10-04-2020,10-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0,,,,0,,,
11-04-2020,11-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0,,,,0,,,
12-04-2020,12-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0,,,,0,,,
13-04-2020,13-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0,,,,0,,,
14-04-2020,14-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0,,,,0,,,
15-04-2020,15-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0,,,,0,,,
16-04-2020,16-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0,,,,0,,,
17-04-2020,17-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0,,,,0,,,
