Date,Region,Forecasted_Cases,Forecasted_Active_Cases
03-10-2020,Andaman and Nicobar Islands,3863.0,170.0
03-10-2020,Andhra Pradesh,708928.0,56022.0
03-10-2020,Arunachal Pradesh,10348.0,3054.0
03-10-2020,Assam,185430.0,34513.0
03-10-2020,Bihar,185748.0,11895.0
03-10-2020,Chandigarh,12111.0,1815.0
03-10-2020,Chhattisgarh,119573.0,28462.0
03-10-2020,Dadra and Nagar Haveli and Daman and Diu,3068.0,105.0
03-10-2020,Delhi,287252.0,26372.0
03-10-2020,Goa,34716.0,5201.0
03-10-2020,Gujarat,140119.0,16720.0
03-10-2020,Haryana,132298.0,12849.0
03-10-2020,Himachal Pradesh,15611.0,3514.0
03-10-2020,India,6522156.0,941928.0
03-10-2020,Jammu and Kashmir,77573.0,15999.0
03-10-2020,Jharkhand,85915.0,11297.0
03-10-2020,Karnataka,620556.0,112915.0
03-10-2020,Kerala,215706.0,78672.0
03-10-2020,Ladakh,4458.0,1069.0
03-10-2020,Madhya Pradesh,133081.0,19884.0
03-10-2020,Maharashtra,1424993.0,257507.0
03-10-2020,Manipur,11352.0,2440.0
03-10-2020,Meghalaya,5944.0,1728.0
03-10-2020,Mizoram,2100.0,349.0
03-10-2020,Nagaland,6331.0,1085.0
03-10-2020,Odisha,227121.0,31395.0
03-10-2020,Puducherry,28703.0,4980.0
03-10-2020,Punjab,116387.0,14891.0
03-10-2020,Rajasthan,139891.0,21103.0
03-10-2020,Sikkim,3104.0,625.0
03-10-2020,Tamil Nadu,609165.0,46379.0
03-10-2020,Telangana,183825.0,30203.0
03-10-2020,Tripura,26732.0,5383.0
03-10-2020,Uttar Pradesh,406940.0,49938.0
03-10-2020,Uttarakhand,50437.0,7955.0
03-10-2020,World,32188653.0,31177436.0
